"GeneEnsembl","logFC","logCPM","LR","PValue","regulation","absLogFc","geneId","FDR"
"ENSG00000167286",-3.38685154039722,5.66043111246506,119.776907311091,7.07905742749419e-28,"down",3.38685154039722,"CD3D","7.71e-25"
"ENSG00000108848",-2.20664499670056,7.27181830519927,119.514440306421,8.08049803305967e-28,"down",2.20664499670056,"LUC7L3","8.26e-25"
"ENSG00000177600",-2.19476035309044,9.24805587090854,118.352512339321,1.45155925665681e-27,"down",2.19476035309044,"RPLP2","1.40e-24"
"ENSG00000174501",-3.37816597068115,6.14468600496065,117.743855288596,1.97289681454759e-27,"down",3.37816597068115,"ANKRD36C","1.79e-24"
"ENSG00000089009",-1.70684117825322,8.13036300599955,117.4188854621,2.32413324181943e-27,"down",1.70684117825322,"RPL6","1.96e-24"
"ENSG00000167526",-1.90040039638344,9.76342784835103,117.35538403407,2.39974849833052e-27,"down",1.90040039638344,"RPL13","1.96e-24"
"ENSG00000142089",1.93948496313402,6.59892168517182,116.626423976925,3.46567811250491e-27,"up",1.93948496313402,"IFITM3","2.70e-24"
"ENSG00000143947",-1.58426500177652,10.1730292314154,115.858810650355,5.10368207822742e-27,"down",1.58426500177652,"RPS27A","3.79e-24"
"ENSG00000122406",-1.81639657099161,9.13753608421024,115.734489178551,5.4338662971869e-27,"down",1.81639657099161,"RPL5","3.86e-24"
"ENSG00000145425",-1.71052783205214,9.4559537124348,115.466319437553,6.22066258303258e-27,"down",1.71052783205214,"RPS3A","4.24e-24"
"ENSG00000137154",-1.86555567432169,10.4941170102673,115.031588993378,7.74537820609032e-27,"down",1.86555567432169,"RPS6","5.06e-24"
